,CustomerID,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn
15,6dee6bf9-191d-44f5-9be0-ea333d0a78a5,41.0,Male,39,DSL,No,Yes,One year,Electronic check,104.12,4060.22,No,No,Yes,Yes,No
16,79ae2894-25ed-40a7-bb43-c8e4b588954e,20.0,Female,51,None,Yes,Yes,Two year,Mailed check,47.73,2440.13,Yes,Yes,Yes,No,No
17,44a0183a-79fa-496e-a5fe-7f6402f3ffae,39.0,Male,12,DSL,Yes,Yes,One year,Electronic check,115.96,1384.84,Yes,No,No,No,No
18,cedd9b62-f616-4b38-ba46-c5901a4b17d9,19.0,Female,55,Fiber optic,No,No,One year,Credit card,89.55,4925.96,Yes,No,No,Yes,No
19,fbd12edb-2f9c-4ad3-94ec-da1d1332e2ce,41.0,Male,11,DSL,Yes,Yes,Two year,Credit card,59.91,659.9,Yes,No,Yes,No,No
20,2c38d77b-aa10-4a11-b50a-bd7b8ca51475,61.0,Male,26,Fiber optic,Yes,Yes,One year,Bank transfer,48.1,1251.88,No,No,Yes,No,No
21,70f91934-fdda-4b1e-878b-b0ac212bceaf,47.0,Male,42,None,Yes,Yes,Two year,Bank transfer,43.52,1828.0,No,Yes,Yes,Yes,No
22,baa44ba7-05bc-4df9-b643-cc4bd7bdc496,55.0,Male,27,Fiber optic,Yes,Yes,Month-to-month,Mailed check,88.08,2364.12,Yes,No,Yes,No,No
23,cf0f3b20-e221-4964-abad-9a1a515c1770,19.0,Male,11,Fiber optic,No,Yes,Month-to-month,Credit card,109.58,1182.77,No,No,No,Yes,Yes
24,ef5fcbe6-84ef-4e7a-91d9-6339c0c71fad,38.0,Female,38,DSL,Yes,No,Month-to-month,Electronic check,95.49,3619.2,No,Yes,No,No,No
25,b83a5822-4ce7-4ce4-8e23-66cda0ddfa9f,50.0,Female,43,Fiber optic,Yes,No,Month-to-month,Bank transfer,103.48,4444.33,Yes,Yes,No,No,No
26,5757e8b5-2194-4523-9651-4a928ae49f4b,29.0,Female,19,Fiber optic,No,Yes,One year,,98.14,1852.88,No,Yes,No,Yes,No
27,6d81c585-d94f-426d-82da-f012e2aa5837,39.0,Female,64,DSL,No,Yes,Month-to-month,Credit card,117.91,7545.68,No,Yes,No,No,No
28,6491c629-a086-4dce-b96d-51d0ef9e672e,61.0,Female,6,Fiber optic,Yes,Yes,Two year,,95.78,585.58,Yes,No,No,No,Yes
29,41347538-6a05-4424-a07e-6841409bb249,42.0,Female,46,DSL,No,Yes,Month-to-month,Credit card,41.02,1894.18,Yes,Yes,Yes,No,No
30,96fc0d97-77b2-4e53-9d7d-e79d0e629b83,,Male,42,None,Yes,No,Month-to-month,Mailed check,99.16,4169.38,Yes,Yes,Yes,Yes,No
31,b2718b43-0ef8-4955-af40-9951cb4bba8f,,Male,65,Fiber optic,No,No,Month-to-month,Electronic check,52.21,3403.5,Yes,Yes,No,No,No
32,b8f92096-6c62-4737-9eaa-eb2ec85c341a,59.0,Female,59,DSL,Yes,No,Month-to-month,Mailed check,119.58,7045.97,Yes,Yes,Yes,No,No
33,503651fc-b5e5-42fd-a046-877d897dfb69,45.0,Female,52,Fiber optic,Yes,Yes,Month-to-month,Bank transfer,57.67,2994.27,Yes,Yes,Yes,Yes,No
34,3476d401-cf6b-4ac1-9a2d-4227593dbd62,33.0,Male,47,Fiber optic,No,Yes,Month-to-month,Bank transfer,492.8,2322.31,No,Yes,No,Yes,No
35,46a35781-1cb4-429b-b553-b85916fce652,32.0,Male,7,Fiber optic,Yes,No,One year,Electronic check,43.92,302.69,No,Yes,Yes,No,No
36,879b0673-f23d-461b-9cfc-053ad9c351e8,64.0,Male,11,None,No,No,Month-to-month,Mailed check,85.85,940.15,Yes,No,No,No,Yes
37,bf5a87cb-7b7d-459d-a372-7936530e2b1d,68.0,Female,61,Fiber optic,Yes,No,Month-to-month,Electronic check,30.92,1904.74,Yes,Yes,Yes,No,No
38,973180ed-fff5-47ed-aaef-c22623ac0f1b,61.0,Female,68,None,No,Yes,One year,Credit card,115.36,7845.43,No,No,No,No,No
39,58b307bd-9204-4e16-8f66-e29ef2a72260,69.0,Female,25,Fiber optic,No,Yes,Month-to-month,Electronic check,49.43,1253.39,No,Yes,Yes,Yes,No
40,3eec98ad-f31e-4ab4-bcf7-a04bb6b12090,,Male,12,DSL,Yes,Yes,Month-to-month,Bank transfer,49.54,576.25,Yes,Yes,No,No,No
41,adc22f7f-8ded-4752-bdb5-17962b0b00ce,54.0,Male,26,Fiber optic,No,Yes,Month-to-month,Electronic check,24.61,633.55,Yes,Yes,Yes,No,No
42,51659a9b-e55d-496a-90c5-27dfbc394cf1,68.0,Female,12,Fiber optic,Yes,Yes,Month-to-month,,44.6,539.29,No,Yes,No,No,No
43,99e16c7b-c995-4fab-ac08-3575571f87bc,24.0,Female,43,Fiber optic,No,No,One year,Credit card,61.9,2662.64,Yes,Yes,No,Yes,No
44,8282b377-1276-4472-ba8e-a352ee13aae0,38.0,Male,51,None,Yes,Yes,Month-to-month,Electronic check,56.96,28844.0,Yes,Yes,Yes,No,No
45,620e28f8-00ec-4b30-9d25-ea297cb702ed,26.0,Male,37,Fiber optic,No,Yes,Two year,Electronic check,47.3,1747.8,Yes,Yes,Yes,No,No
46,a0278ed3-8bfe-4532-bd5c-6389c9bec207,56.0,Male,46,None,Yes,No,Two year,Electronic check,24.07,1131.95,Yes,No,Yes,No,No
47,33301cf8-3182-42c4-a255-5e6c5f3bbc61,35.0,Male,53,Fiber optic,Yes,Yes,Month-to-month,Mailed check,50.06,2655.65,Yes,Yes,No,No,No
48,f813f953-0f1a-4630-b405-5fe40e484474,21.0,Female,13,Fiber optic,Yes,No,Two year,Bank transfer,97.83,1277.83,Yes,No,No,Yes,No
49,75677f11-7b36-4142-955c-a956d7a8cc8d,42.0,Male,54,Fiber optic,Yes,Yes,Month-to-month,Electronic check,63.88,3443.08,No,No,Yes,No,No
50,e4add2cd-866c-44af-9a9c-1cd3c6187d4e,31.0,Male,57,Fiber optic,No,Yes,Month-to-month,Bank transfer,49.08,2799.99,No,No,No,No,No
51,a40f7aff-c09e-43ba-9e32-941210fb4df5,67.0,Male,4,None,Yes,No,Month-to-month,Electronic check,50.48,201.8,No,Yes,No,No,No
52,3e48da8d-ac6d-473d-a1fe-900b7196f861,26.0,Female,49,Fiber optic,Yes,No,Month-to-month,Credit card,75.44,3707.75,Yes,No,Yes,Yes,No
53,f5c64c1f-a0c4-4b04-ad56-2068775cf28e,43.0,Female,7,DSL,Yes,Yes,One year,Credit card,50.23,362.48,Yes,Yes,No,Yes,No
54,e1aba49f-ebaf-4f34-9d2e-9765178d747c,,Male,11,Fiber optic,Yes,No,Month-to-month,Credit card,83.08,917.96,No,Yes,No,Yes,Yes
55,84cd4ba7-d687-484b-a365-329169802a5a,37.0,Male,54,Fiber optic,Yes,Yes,Two year,Credit card,118.95,6424.01,No,Yes,No,No,No
56,7ca49fa4-1846-4f56-a5a1-e8c67b77229c,45.0,Male,45,DSL,No,Yes,One year,Electronic check,24.12,1068.61,Yes,No,Yes,Yes,No
57,4e3c646d-e891-41b1-88f8-38e9dcc81da9,64.0,Female,23,DSL,No,Yes,Month-to-month,Electronic check,36.87,830.87,Yes,Yes,Yes,No,No
58,91468da0-391d-4369-897e-06543db0ba69,24.0,Female,28,Fiber optic,Yes,Yes,One year,Bank transfer,37.91,1062.3,Yes,No,Yes,No,No
59,88298517-dcdf-4ef8-8854-27e8eeaae6ec,,Female,57,Fiber optic,Yes,No,Two year,Electronic check,64.71,3697.22,Yes,Yes,No,Yes,No
60,1ac28457-bc7d-469a-be10-335f0fa3c8af,25.0,Male,26,Fiber optic,Yes,No,Month-to-month,Electronic check,24.14,640.96,Yes,No,No,Yes,No
61,027e85cc-3f3f-42e5-b009-9c0d53c4c193,64.0,Female,25,DSL,Yes,No,Month-to-month,Electronic check,67.75,1684.85,No,No,Yes,No,No
62,8211749c-1420-4003-ab84-d9b69e678eed,52.0,Male,54,DSL,Yes,No,Month-to-month,Mailed check,112.89,6080.97,Yes,No,Yes,Yes,No
63,201ff65e-254c-4306-b048-b8b11ade1875,31.0,Male,29,Fiber optic,No,Yes,Month-to-month,Mailed check,21.16,622.97,No,Yes,Yes,No,No
64,638c1901-a0b8-4572-9a4b-04d2d2b74f27,34.0,Male,36,Fiber optic,Yes,No,Month-to-month,Electronic check,56.49,2025.49,No,No,No,Yes,No
65,e5eeaa3f-2f42-4352-8824-436a047d8acf,53.0,Female,14,DSL,No,No,Month-to-month,,96.09,1329.49,Yes,No,Yes,No,No
66,1fed8d93-e286-4ef2-854f-45be9b4f885f,67.0,Male,35,Fiber optic,Yes,No,One year,Bank transfer,35.45,1235.81,No,Yes,No,Yes,No
67,9fe25f05-f566-4112-bbee-65854cee0df7,57.0,Female,30,Fiber optic,Yes,No,One year,Electronic check,27.76,827.69,No,Yes,No,No,No
68,6257a2d6-2fb4-4a72-a2ed-27005061f983,21.0,Female,17,DSL,Yes,No,Month-to-month,Credit card,83.08,1425.56,Yes,No,No,No,No
69,96cdf9b9-b0ae-4ae8-b190-36ac60a6895d,19.0,Male,67,DSL,Yes,Yes,Month-to-month,,21.0,1415.66,Yes,Yes,No,No,No
70,eb096f7d-0a56-4a48-afc6-43eebcb26715,23.0,Male,30,DSL,Yes,No,Month-to-month,Bank transfer,100.18,2998.03,No,No,Yes,Yes,No
71,13641684-9e1b-4303-a72f-b389cbce798f,59.0,Female,45,None,No,No,Month-to-month,Mailed check,26.69,1215.03,No,Yes,No,No,No
72,eec5ba6b-134c-4ad9-aebe-68462a4290f8,21.0,Male,51,Fiber optic,Yes,No,Month-to-month,Electronic check,72.44,3695.69,No,No,No,Yes,No
73,98634576-8797-4455-bacf-6bc669f301ac,46.0,Female,47,Fiber optic,No,Yes,Two year,Mailed check,94.01,4429.08,Yes,Yes,No,No,No
74,83f91e31-8b22-494a-a7d7-cb58c4da64f2,35.0,Male,53,Fiber optic,Yes,Yes,Month-to-month,Mailed check,44.2,2355.87,Yes,Yes,Yes,No,No
75,b779d796-3a0f-4681-aa0c-64c2eabfd21d,43.0,Female,64,Fiber optic,Yes,No,Month-to-month,Credit card,30.35,1939.77,Yes,Yes,Yes,Yes,No
76,741e18d4-4d99-4a28-9b62-15ce5a034d2e,61.0,Female,38,Fiber optic,Yes,Yes,Month-to-month,Bank transfer,37.56,1432.99,Yes,No,No,Yes,No
77,9d4e2935-ab03-4651-bdfb-95c96cae35e3,51.0,Female,64,Fiber optic,Yes,No,Two year,Electronic check,105.47,6746.01,No,Yes,No,Yes,No
78,d0600be2-a69e-4b21-a1c4-77bb1cd771e5,27.0,Female,7,DSL,Yes,Yes,One year,Electronic check,90.58,643.36,No,No,No,Yes,Yes
79,2f03382b-77d0-4119-b9d0-fbb26b1d0c1a,53.0,Male,22,Fiber optic,Yes,Yes,Month-to-month,Electronic check,39.81,876.72,No,No,No,No,No
80,5abb4990-80eb-4b3f-b619-6c435a99df09,31.0,Male,41,Fiber optic,Yes,Yes,Month-to-month,Electronic check,91.61,3765.61,No,Yes,No,Yes,No
81,281e90c9-68b6-4c49-a198-95f061a33e8a,48.0,Female,10,Fiber optic,Yes,Yes,Month-to-month,Mailed check,90.86,923.85,No,Yes,Yes,No,Yes
82,e4a8f175-f9fb-4ef0-a160-3c39397b86bc,65.0,Female,57,Fiber optic,Yes,Yes,Month-to-month,Credit card,119.77,6832.36,No,Yes,No,Yes,No
83,387a18dd-9ce0-4b6c-b609-05a7b60a8380,32.0,Male,7,DSL,Yes,Yes,Two year,Mailed check,59.16,413.19,No,Yes,No,No,No
84,cd9d67eb-7849-4f86-8659-60d6938226f6,25.0,Male,50,Fiber optic,Yes,Yes,One year,Bank transfer,106.49,5323.73,Yes,Yes,No,Yes,No
85,a8656a22-0901-4064-9e4b-b6dd9763223f,31.0,Male,52,Fiber optic,No,Yes,One year,Bank transfer,64.64,3331.71,No,No,No,Yes,No
86,cc73d943-473d-4cb9-bb27-e392ddca8697,40.0,Male,33,None,Yes,Yes,Month-to-month,Credit card,109.78,3615.61,Yes,No,Yes,No,No
87,f2c1166b-e5b8-4fc4-84fc-20680cc14d08,57.0,Male,1,Fiber optic,No,Yes,Month-to-month,Electronic check,29.16,38.49,Yes,Yes,Yes,No,No
88,a9a05c49-232f-45fc-8a1b-2331b55c8aaa,38.0,Male,53,Fiber optic,Yes,Yes,Two year,Bank transfer,37.53,1998.79,Yes,No,No,No,No
89,aefbb0c0-b0d9-4766-8e40-fec29a4f0516,33.0,Female,60,Fiber optic,No,No,Month-to-month,Credit card,105.0,6292.65,Yes,No,Yes,No,No
90,3b24b245-2289-45ab-92ea-c9b30af15fcc,62.0,Male,34,None,Yes,Yes,Two year,Electronic check,101.93,3467.27,No,No,No,No,No
91,fd331740-fac6-4e84-88f2-06742c9c0030,35.0,Male,4,Fiber optic,No,Yes,Month-to-month,Electronic check,50.54,200.27,Yes,No,No,No,No
92,3a46e4ed-ce41-42b3-af5f-c4627e92bdc7,,Female,17,Fiber optic,Yes,No,Month-to-month,Credit card,79.68,1361.46,No,No,Yes,Yes,No
93,b715a4ba-26ca-4861-9368-1524a72e077e,41.0,Male,4,Fiber optic,No,Yes,One year,Bank transfer,58.27,255.17,Yes,Yes,No,Yes,No
94,ecee093d-dd91-4594-9e9c-0f678c8d6a13,43.0,Male,43,Fiber optic,Yes,No,Month-to-month,Electronic check,21.03,911.37,Yes,No,Yes,No,No
95,208ce1fb-eb53-4771-81cc-26afa5d0e012,42.0,Male,4,None,Yes,No,Month-to-month,Mailed check,22.61,83.74,Yes,No,No,No,No
96,e2020c38-7079-4e0d-b9af-a2d4ec6c62d3,62.0,Male,1,DSL,Yes,Yes,Month-to-month,Mailed check,25.43,24.65,No,Yes,Yes,No,No
97,27dc3c79-dde8-484b-9e93-d93e17995c8d,58.0,Male,71,DSL,Yes,Yes,One year,Mailed check,79.41,5652.13,No,Yes,No,Yes,No
98,b7deaab8-8d3b-4913-87c4-53e33ac53d50,46.0,Female,50,None,Yes,Yes,Month-to-month,Electronic check,47.92,2381.91,Yes,Yes,No,No,No
99,c9e5916a-6ec4-440e-af82-84448615e022,32.0,Male,61,Fiber optic,Yes,Yes,Month-to-month,Electronic check,34.39,2091.64,Yes,Yes,No,No,No
100,4b5267df-ec39-4a15-b86e-ece720967f47,62.0,Female,35,Fiber optic,Yes,Yes,One year,Bank transfer,114.11,4000.95,No,Yes,No,No,No
101,a98e626c-377a-4344-a65f-fd908b8717de,18.0,Female,8,Fiber optic,No,Yes,Month-to-month,Bank transfer,32.13,269.98,Yes,No,No,Yes,No
102,83e61b84-e4bd-4ab0-a280-6d639f282e89,42.0,Male,24,DSL,Yes,No,Two year,Credit card,87.4,2103.69,Yes,No,No,No,No
103,55909f8c-ffc4-448b-a567-b0efb4fbca5b,24.0,Female,36,Fiber optic,No,Yes,Month-to-month,Electronic check,109.42,3933.05,Yes,Yes,No,No,No
104,f1e829c9-eb31-4196-b279-86c0035ce076,26.0,Male,50,Fiber optic,Yes,Yes,One year,Credit card,36.38,1824.37,Yes,Yes,No,No,No
105,def5d28f-f593-437e-b61c-0b86ca5393f9,,Female,43,Fiber optic,Yes,No,Month-to-month,Electronic check,41.47,1787.35,Yes,No,No,No,No
106,067a8b44-349b-475e-b9c9-26c556215977,18.0,Female,27,Fiber optic,No,Yes,One year,Mailed check,773.8,2092.77,Yes,Yes,Yes,No,No
107,e655eb25-b06b-4063-9390-9af6809e42d2,61.0,Male,32,None,No,Yes,One year,Credit card,70.84,2265.91,No,Yes,No,Yes,No
108,0b264f5f-8236-4b4e-89cf-1264f1c43cd6,25.0,Male,18,DSL,No,Yes,Two year,Mailed check,72.1,1298.33,No,No,Yes,No,No
109,67ead613-3ad2-4f5a-bc3c-cefcf4282e9f,41.0,Male,28,None,Yes,Yes,Month-to-month,Electronic check,75.47,2104.09,No,Yes,Yes,No,No
110,2915331f-7afd-41ed-80f9-7a2a1fdc5c30,28.0,Male,29,DSL,Yes,No,Month-to-month,Electronic check,114.99,3359.51,No,Yes,Yes,Yes,No
111,dab3fe5c-a24a-4153-814f-9ebf6130ba82,68.0,Male,16,Fiber optic,Yes,Yes,One year,Mailed check,25.38,407.65,No,Yes,Yes,Yes,No
112,dd452761-8b48-4fe6-a3c5-85bc036e7f28,34.0,Female,47,None,Yes,Yes,Month-to-month,Bank transfer,96.04,4519.37,No,No,No,No,No
113,8dc63270-6327-4a01-80b1-bddd40c408dd,25.0,Female,59,Fiber optic,Yes,Yes,Month-to-month,Credit card,43.25,2549.57,No,No,Yes,No,No
114,b4aff24a-3e7b-4f55-8719-780c1269c2de,52.0,Female,31,Fiber optic,No,Yes,Two year,Bank transfer,57.37,1786.92,Yes,Yes,No,No,No
115,ed44749a-2ebd-43c6-89de-06c8f17ca94f,52.0,Female,4,Fiber optic,No,Yes,Month-to-month,Credit card,28.93,102.74,Yes,Yes,No,Yes,No
116,66cf4b44-bc8a-429d-86ef-a24e00621c3e,50.0,Female,37,Fiber optic,Yes,No,Two year,Bank transfer,64.56,2371.26,No,No,No,No,No
117,d7b7c929-ae24-4b3e-86e9-7ff464533350,22.0,Female,17,DSL,Yes,No,Month-to-month,Credit card,100.42,1706.84,No,No,No,No,No
118,01d6c8ff-e38b-4c7e-9863-a3fbcd1bf8fd,59.0,Female,39,None,No,Yes,One year,Electronic check,29.87,1185.47,No,No,Yes,No,No
119,746fe7ea-0d00-4fd7-bd93-03a7f36466cb,56.0,Male,48,Fiber optic,Yes,Yes,Month-to-month,Credit card,47.56,2294.96,No,No,No,No,No
120,6cb6367c-4d46-4c8e-89f6-ff64f57a80f0,58.0,Male,46,Fiber optic,Yes,No,Month-to-month,Electronic check,57.31,2628.18,Yes,No,No,No,No
121,9bf75152-764f-4fb6-817c-12d71b2086fe,45.0,Female,48,Fiber optic,Yes,Yes,Two year,Credit card,30.39,1463.88,Yes,No,Yes,Yes,No
122,80ec038a-07b5-49a9-9437-33bfad4b4fc6,24.0,Female,39,DSL,Yes,Yes,Month-to-month,Electronic check,96.23,3746.61,No,No,Yes,No,No
123,3771a567-9c35-4cf3-9006-3a0f31d62b70,26.0,Male,4,DSL,No,Yes,Two year,Bank transfer,98.69,399.02,Yes,No,Yes,No,Yes
124,9c37124f-6d2b-4fcf-a63e-03ecac1bdd50,25.0,Male,30,Fiber optic,Yes,Yes,One year,Bank transfer,103.59,3112.74,Yes,No,Yes,Yes,No
125,a63dcd79-149c-4436-ba72-4a4eee88ae61,29.0,Male,30,Fiber optic,Yes,Yes,Month-to-month,Credit card,78.39,2360.96,No,Yes,No,No,No
126,f37934ec-7684-4abc-a2db-5055b47f05fe,51.0,Male,22,Fiber optic,Yes,No,Two year,Bank transfer,70.72,1540.18,Yes,No,Yes,Yes,No
127,9908adeb-3283-406a-a91e-1fdf391d7c0c,,Female,66,None,No,No,Month-to-month,Electronic check,46.26,3040.5,No,No,No,No,No
128,7bdbbbc2-db21-48e2-a57a-edc262676b91,65.0,Male,12,DSL,No,Yes,Two year,Mailed check,85.52,1025.48,No,No,No,No,No
129,d1265bfc-fa95-471f-b5a1-3eda14936e91,40.0,Female,36,Fiber optic,Yes,Yes,Month-to-month,Electronic check,64.46,2310.24,Yes,Yes,Yes,No,No
130,53bbdbfd-c8df-489a-aba1-f30d3627d261,41.0,Female,18,DSL,Yes,No,Two year,Electronic check,117.08,2096.34,Yes,No,No,No,No
131,01aa3711-4d9f-411e-81c1-d2aebb8b6187,54.0,Female,53,Fiber optic,Yes,Yes,One year,Electronic check,116.82,6194.18,Yes,No,Yes,No,No
132,46602ebe-d684-4a50-af47-d054a2f8727b,52.0,Male,71,DSL,Yes,No,Month-to-month,Electronic check,110.52,7837.76,No,Yes,Yes,No,No
133,4c4ebfb1-9c6f-4e05-a228-d7bb2dc226b8,61.0,Male,1,None,Yes,Yes,One year,Mailed check,56.01,78.59,Yes,No,No,No,No
134,e2dfd8ac-506c-4255-8f78-295ee06c0a2d,57.0,Female,58,DSL,Yes,Yes,Month-to-month,Credit card,56.8,3289.07,Yes,No,Yes,No,No
135,5f42fd82-6050-436c-8d79-bbd4eb99bd71,39.0,Female,6,None,Yes,Yes,Month-to-month,Credit card,105.27,628.92,No,Yes,Yes,No,Yes
136,21455459-c5fa-4231-9a0c-83436e7c1307,44.0,Female,70,Fiber optic,Yes,No,Month-to-month,Electronic check,92.91,6506.68,Yes,Yes,Yes,No,No
137,2d12d1b5-6dc6-43c7-b302-1b0de9e7c5c4,,Male,44,None,Yes,Yes,Month-to-month,Electronic check,90.44,3964.28,Yes,No,No,Yes,No
138,2457ae2b-6c09-4d9e-ac70-80b7d1d103dd,18.0,Female,24,Fiber optic,No,Yes,Month-to-month,Electronic check,47.96,1156.13,Yes,No,No,No,No
139,9ee9c900-3788-492c-a5e8-596eb07dfe4d,52.0,Male,19,None,Yes,Yes,Month-to-month,,103.33,1966.68,Yes,Yes,No,Yes,No
140,6f922e4c-96e3-4ea1-8645-16e230d82e71,54.0,Female,18,DSL,Yes,No,Month-to-month,Electronic check,77.94,1399.43,No,Yes,No,No,No
141,ef436935-fdbb-4267-80e3-2316050580ba,64.0,Female,30,Fiber optic,No,No,Month-to-month,Electronic check,64.69,1943.44,Yes,Yes,Yes,Yes,No
142,ef3e00c5-d8b8-43c1-97a0-eafe19466010,,Female,42,None,Yes,No,Month-to-month,Mailed check,106.54,4478.96,Yes,Yes,Yes,No,No
143,07cd1780-5828-4744-8f8c-5219955af1da,20.0,Male,33,DSL,No,No,One year,Mailed check,59.42,1975.21,No,Yes,Yes,Yes,No
144,edd93deb-9430-434a-aaf5-6201bb8e160a,18.0,Male,12,DSL,Yes,Yes,One year,Mailed check,85.39,1049.68,No,No,No,Yes,No
145,4df5254a-c564-4065-b52c-fbe3cb078c93,22.0,Female,27,Fiber optic,Yes,Yes,Month-to-month,Electronic check,66.59,1787.31,Yes,No,No,No,No
146,71615f69-b82d-4ea6-ad5d-b21fbb42935e,43.0,Male,39,None,No,Yes,Two year,Bank transfer,79.27,3078.56,No,No,Yes,No,No
147,4fc1836b-6805-4364-916b-8a123927d241,31.0,Female,9,Fiber optic,Yes,Yes,One year,Credit card,24.05,217.48,No,Yes,Yes,No,No
148,df261f11-9d13-4770-9af8-a938a1bc818b,56.0,Male,21,Fiber optic,No,No,One year,Electronic check,66.11,1367.52,Yes,Yes,Yes,Yes,No
149,5e566064-08d1-45bf-8986-6a51b7cb12a1,44.0,Male,29,DSL,Yes,No,Month-to-month,Electronic check,75.65,2200.34,No,Yes,No,No,No
150,d2aa93e3-589b-43f7-b533-9b478e5a51d8,26.0,Male,33,DSL,Yes,Yes,Month-to-month,Electronic check,69.27,2287.04,No,No,No,Yes,No
151,66d52eac-cec5-48b1-a0ae-3d13dfb9cd8c,32.0,Female,62,None,Yes,No,Two year,Electronic check,104.74,6497.55,Yes,No,Yes,No,No
152,da016218-6e95-4fe5-8d35-ca45f0bf0287,32.0,Male,15,DSL,Yes,No,Two year,Mailed check,51.11,763.61,No,No,Yes,No,No
153,abfa0b93-65dc-4b96-a91f-0cc1bde19eff,43.0,Male,2,Fiber optic,Yes,Yes,Month-to-month,Electronic check,108.41,219.37,No,Yes,Yes,Yes,Yes
154,a9fc839b-4dd6-4706-8d37-a99e04bb53ce,59.0,Female,52,None,Yes,Yes,Month-to-month,Mailed check,60.35,3142.92,No,No,No,No,No
155,e9ffe264-92f5-46bc-97e1-229ffd179b03,30.0,Female,44,DSL,Yes,Yes,One year,Electronic check,89.45,3937.8,Yes,No,No,No,No
156,305d3be1-2cef-4a5d-bab4-3e3079659d33,68.0,Female,54,Fiber optic,Yes,Yes,One year,Bank transfer,28.67,1534.73,Yes,No,Yes,No,No
157,467eafbe-33bc-4e5c-8158-b6df7367774f,49.0,Female,18,DSL,No,Yes,Two year,Electronic check,40.02,722.08,No,No,Yes,Yes,No
158,a5937166-b305-40c8-875c-e4009c7b466f,56.0,Male,3,Fiber optic,Yes,Yes,Month-to-month,Mailed check,96.12,306.9,Yes,No,Yes,No,Yes
159,93267d0f-e727-4ba6-aa28-da1b605450ac,66.0,Male,7,DSL,No,Yes,Month-to-month,Electronic check,21.23,1510.2,No,Yes,No,No,No
160,8db246ee-b7ba-4ef1-a9e9-2a4b9c86767a,69.0,Male,43,Fiber optic,Yes,No,Month-to-month,Electronic check,116.85,5025.92,Yes,No,No,No,No
161,f3486a52-0053-4bd8-a5a0-5cd9f1c5e8ab,49.0,Male,38,Fiber optic,Yes,Yes,Month-to-month,Credit card,39.06,1499.88,Yes,Yes,No,No,No
162,71a60dad-7a8a-492c-9127-dfb2f1d9b558,21.0,Male,37,Fiber optic,No,Yes,Month-to-month,Bank transfer,110.13,4067.35,No,Yes,No,Yes,No
163,7ec9bad5-715f-481f-ae64-eb1c171a1675,47.0,Female,58,Fiber optic,Yes,No,Two year,Electronic check,71.59,4161.12,No,Yes,Yes,Yes,No
